color,voltage,L,a,b
blue,0.0,58.84,-22.259,-34.033
blue,0.0,58.84,-22.259,-34.033
blue,0.0,58.84,-22.259,-34.033
blue,0.0,58.467,-22.087,-34.049
blue,0.0,58.467,-22.087,-34.049
blue,0.0,59.957,-22.774,-33.971
blue,0.0,59.957,-22.774,-33.971
blue,0.0,59.578,-22.602,-34.002
blue,0.0,59.212,-22.431,-34.018
blue,0.0,58.84,-22.259,-34.033
blue,0.0,59.957,-22.774,-33.971
blue,0.0,59.957,-22.774,-33.971
blue,0.0,59.212,-22.431,-34.018
blue,0.0,58.84,-22.259,-34.033
blue,0.0,58.467,-22.087,-34.049
blue,0.0,58.84,-22.259,-34.033
blue,0.0,58.84,-22.259,-34.033
blue,0.0,58.467,-22.087,-34.049
blue,0.0,58.095,-21.915,-34.08
blue,0.0,57.723,-21.743,-34.096
blue,0.0,58.467,-22.087,-34.049
blue,0.0,58.467,-22.087,-34.049
blue,0.0,58.095,-21.915,-34.08
blue,0.0,58.095,-21.915,-34.08
blue,0.0,57.723,-21.743,-34.096
blue,0.0,59.212,-22.431,-34.018
blue,0.0,59.212,-22.431,-34.018
blue,0.0,58.84,-22.259,-34.033
blue,0.0,58.84,-22.259,-34.033
blue,0.0,58.84,-22.259,-34.033
blue,0.0,59.853,-23.321,-33.564
blue,0.0,59.749,-23.852,-33.158
blue,0.0,59.377,-23.696,-33.174
blue,0.0,59.005,-23.524,-33.189
blue,0.0,58.632,-23.352,-33.221
blue,0.0,60.225,-23.478,-33.549
blue,0.0,60.121,-24.024,-33.127
blue,0.0,59.749,-23.852,-33.158
blue,0.0,59.749,-23.852,-33.158
blue,0.0,59.377,-23.696,-33.174
blue,0.0,60.225,-23.478,-33.549
blue,0.0,60.494,-24.181,-33.111
blue,0.0,60.494,-24.181,-33.111
blue,0.0,60.121,-24.024,-33.127
blue,0.0,60.121,-24.024,-33.127
blue,0.0,59.853,-23.321,-33.564
blue,0.0,60.494,-24.181,-33.111
blue,0.0,60.494,-24.181,-33.111
blue,0.0,60.866,-24.352,-33.08
blue,0.0,60.866,-24.352,-33.08
blue,5.0,72.768,-39.493,-20.252
blue,5.0,72.396,-39.415,-20.283
blue,5.0,71.657,-39.228,-20.314
blue,5.0,71.291,-39.134,-20.33
blue,5.0,70.925,-39.04,-20.346
blue,5.0,73.5,-39.634,-20.221
blue,5.0,72.768,-39.493,-20.252
blue,5.0,72.023,-39.321,-20.299
blue,5.0,71.657,-39.228,-20.314
blue,5.0,71.291,-39.134,-20.33
blue,5.0,73.409,-40.321,-19.252
blue,5.0,73.043,-40.243,-19.268
blue,5.0,72.304,-40.102,-19.299
blue,5.0,71.566,-39.915,-19.33
blue,5.0,71.199,-39.821,-19.346
blue,5.0,73.409,-40.321,-19.252
blue,5.0,73.043,-40.243,-19.268
blue,5.0,72.304,-40.102,-19.299
blue,5.0,71.932,-40.024,-19.314
blue,5.0,71.932,-40.024,-19.314
blue,5.0,73.616,-41.571,-17.814
blue,5.0,73.244,-41.493,-17.83
blue,5.0,72.878,-41.431,-17.846
blue,5.0,72.506,-41.352,-17.861
blue,5.0,72.506,-41.352,-17.861
blue,5.0,73.244,-41.493,-17.83
blue,5.0,73.244,-41.493,-17.83
blue,5.0,72.878,-41.431,-17.846
blue,5.0,72.878,-41.431,-17.846
blue,5.0,72.878,-41.431,-17.846
blue,5.0,72.506,-38.774,-20.674
blue,5.0,72.133,-38.681,-20.689
blue,5.0,71.761,-38.602,-20.705
blue,5.0,71.456,-38.228,-20.627
blue,5.0,71.456,-38.228,-20.627
blue,5.0,72.506,-38.774,-20.674
blue,5.0,72.133,-38.681,-20.689
blue,5.0,71.761,-38.602,-20.705
blue,5.0,71.456,-38.228,-20.627
blue,5.0,71.456,-38.228,-20.627
blue,5.0,72.506,-38.774,-20.674
blue,5.0,72.133,-38.681,-20.689
blue,5.0,71.761,-38.602,-20.705
blue,5.0,71.828,-38.306,-20.611
blue,5.0,71.828,-38.306,-20.611
blue,5.0,72.133,-38.681,-20.689
blue,5.0,71.761,-38.602,-20.705
blue,5.0,71.761,-38.602,-20.705
blue,5.0,71.828,-38.306,-20.611
blue,5.0,71.828,-38.306,-20.611
blue,10.0,73.201,-39.446,-19.658
blue,10.0,72.829,-39.368,-19.674
blue,10.0,72.463,-39.29,-19.689
blue,10.0,72.463,-39.29,-19.689
blue,10.0,72.463,-39.29,-19.689
blue,10.0,73.201,-39.446,-19.658
blue,10.0,73.201,-39.446,-19.658
blue,10.0,72.829,-39.368,-19.674
blue,10.0,72.829,-39.368,-19.674
blue,10.0,72.829,-39.368,-19.674
blue,10.0,73.201,-39.446,-19.658
blue,10.0,73.201,-39.446,-19.658
