color,voltage,L,a,b
blue_black,0.0,37.313,-22.415,-17.236
blue_black,0.0,36.885,-22.259,-17.283
blue_black,0.0,36.031,-21.931,-17.346
blue_black,0.0,35.189,-21.571,-17.424
blue_black,0.0,34.767,-21.368,-17.455
blue_black,0.0,37.313,-22.415,-17.236
blue_black,0.0,36.885,-22.259,-17.283
blue_black,0.0,36.458,-22.102,-17.314
blue_black,0.0,35.61,-21.774,-17.392
blue_black,0.0,34.767,-21.368,-17.455
blue_black,0.0,36.458,-22.102,-17.314
blue_black,0.0,36.458,-22.102,-17.314
blue_black,0.0,36.031,-21.931,-17.346
blue_black,0.0,35.61,-21.774,-17.392
blue_black,0.0,34.767,-21.368,-17.455
blue_black,0.0,35.189,-21.571,-17.424
blue_black,0.0,35.61,-21.774,-17.392
blue_black,0.0,36.031,-21.931,-17.346
blue_black,0.0,35.61,-21.774,-17.392
blue_black,0.0,35.189,-21.571,-17.424
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,35.189,-21.571,-17.424
blue_black,0.0,36.031,-21.931,-17.346
blue_black,0.0,36.458,-22.102,-17.314
blue_black,0.0,36.031,-21.931,-17.346
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,35.61,-21.774,-17.392
blue_black,0.0,36.458,-22.102,-17.314
blue_black,0.0,36.885,-22.259,-17.283
blue_black,0.0,36.458,-22.102,-17.314
blue_black,0.0,33.907,-20.962,-17.533
blue_black,0.0,33.907,-20.962,-17.533
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,34.767,-21.368,-17.455
blue_black,0.0,35.61,-21.774,-17.392
blue_black,0.0,33.907,-20.962,-17.533
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,34.767,-21.368,-17.455
blue_black,0.0,35.61,-21.774,-17.392
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,35.189,-21.571,-17.424
blue_black,0.0,35.61,-21.774,-17.392
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,34.34,-21.165,-17.486
blue_black,0.0,34.767,-21.368,-17.455
blue_black,0.0,35.189,-21.571,-17.424
blue_black,0.0,36.031,-21.931,-17.346
blue_black,5.0,36.238,-30.712,-3.642
blue_black,5.0,36.238,-30.712,-3.642
blue_black,5.0,35.36,-30.54,-3.705
blue_black,5.0,34.023,-30.306,-3.83
blue_black,5.0,32.704,-29.993,-3.908
blue_black,5.0,33.583,-30.212,-3.861
blue_black,5.0,34.462,-30.415,-3.799
blue_black,5.0,34.914,-30.478,-3.752
blue_black,5.0,34.023,-30.306,-3.83
blue_black,5.0,33.144,-30.118,-3.892
blue_black,5.0,31.813,-29.774,-3.986
blue_black,5.0,33.144,-30.118,-3.892
blue_black,5.0,34.462,-30.415,-3.799
blue_black,5.0,35.36,-30.54,-3.705
blue_black,5.0,34.914,-30.478,-3.752
blue_black,5.0,31.356,-29.681,-4.033
blue_black,5.0,32.704,-29.993,-3.908
blue_black,5.0,34.462,-30.415,-3.799
blue_black,5.0,35.799,-30.618,-3.674
blue_black,5.0,35.799,-30.618,-3.674
blue_black,5.0,32.704,-29.993,-3.908
blue_black,5.0,32.704,-29.993,-3.908
blue_black,5.0,34.023,-30.306,-3.83
blue_black,5.0,35.36,-30.54,-3.705
blue_black,5.0,35.36,-30.54,-3.705
blue_black,5.0,33.583,-30.212,-3.861
blue_black,5.0,32.704,-29.993,-3.908
blue_black,5.0,33.583,-30.212,-3.861
blue_black,5.0,34.462,-30.415,-3.799
blue_black,5.0,34.462,-30.415,-3.799
blue_black,5.0,34.511,-30.493,-2.377
blue_black,5.0,33.614,-30.384,-2.455
blue_black,5.0,34.066,-30.431,-2.424
blue_black,5.0,34.511,-30.493,-2.377
blue_black,5.0,34.511,-30.493,-2.377
