color,voltage,L,a,b
green,0.0,83.477,-20.261,0.829
green,0.0,83.477,-20.261,0.829
green,0.0,83.117,-20.276,0.829
green,0.0,83.477,-20.261,0.829
green,0.0,83.843,-20.245,0.844
green,0.0,84.204,-20.245,0.844
green,0.0,83.843,-20.245,0.844
green,0.0,83.477,-20.261,0.829
green,0.0,83.477,-20.261,0.829
green,0.0,83.843,-20.245,0.844
green,0.0,84.57,-20.23,0.844
green,0.0,83.843,-20.245,0.844
green,0.0,83.477,-20.261,0.829
green,0.0,83.477,-20.261,0.829
green,0.0,83.843,-20.245,0.844
green,0.0,84.57,-20.23,0.844
green,0.0,83.843,-20.245,0.844
green,0.0,83.117,-20.276,0.829
green,0.0,83.117,-20.276,0.829
green,0.0,83.477,-20.261,0.829
green,0.0,84.57,-20.23,0.844
green,0.0,83.477,-20.261,0.829
green,0.0,82.751,-20.292,0.829
green,0.0,82.751,-20.292,0.829
green,0.0,83.117,-20.276,0.829
green,0.0,84.57,-20.23,0.844
green,0.0,83.477,-20.261,0.829
green,0.0,82.391,-20.292,0.829
green,0.0,82.391,-20.292,0.829
green,0.0,82.751,-20.292,0.829
green,0.0,83.483,-20.386,1.938
green,0.0,83.85,-20.37,1.938
green,0.0,83.85,-20.37,1.938
green,0.0,84.21,-20.355,1.938
green,0.0,84.57,-20.355,1.938
green,0.0,83.85,-20.37,1.938
green,0.0,83.85,-20.37,1.938
green,0.0,83.85,-20.37,1.938
green,0.0,83.85,-20.37,1.938
green,0.0,84.21,-20.355,1.938
green,0.0,83.788,-20.683,1.829
green,0.0,83.788,-20.683,1.829
green,0.0,83.788,-20.683,1.829
green,0.0,83.788,-20.683,1.829
green,0.0,83.422,-20.698,1.829
green,0.0,83.788,-20.683,1.829
green,0.0,83.788,-20.683,1.829
green,0.0,83.422,-20.698,1.829
green,0.0,83.422,-20.698,1.829
green,0.0,83.062,-20.714,1.829
green,5.0,82.937,-21.898,-0.093
green,5.0,82.937,-21.898,-0.093
green,5.0,83.663,-21.866,-0.093
green,5.0,84.03,-21.866,-0.093
green,5.0,84.39,-21.851,-0.109
green,5.0,82.937,-21.898,-0.093
green,5.0,83.303,-21.882,-0.093
green,5.0,83.303,-21.882,-0.093
green,5.0,83.663,-21.866,-0.093
green,5.0,83.663,-21.866,-0.093
