color,voltage,L,a,b
red,0.0,68.599,25.114,3.545
red,0.0,68.342,24.458,2.561
red,0.0,68.709,24.411,2.514
red,0.0,69.081,24.364,2.467
red,0.0,69.813,24.286,2.358
red,0.0,68.532,23.833,3.404
red,0.0,68.416,23.567,2.639
red,0.0,68.782,23.52,2.592
red,0.0,69.148,23.473,2.545
red,0.0,69.88,23.379,2.436
red,0.0,68.397,23.458,3.201
red,0.0,68.782,23.52,2.592
red,0.0,69.148,23.473,2.545
red,0.0,69.594,22.536,2.576
red,0.0,70.338,22.426,2.482
red,0.0,69.496,23.333,3.029
red,0.0,69.594,22.536,2.576
red,0.0,69.594,22.536,2.576
red,0.0,69.966,22.473,2.529
red,0.0,70.704,22.395,2.451
red,0.0,70.314,22.317,3.029
red,0.0,70.338,22.426,2.482
red,0.0,70.338,22.426,2.482
red,0.0,70.442,21.629,2.045
red,0.0,70.814,21.583,1.998
red,0.0,71.052,22.239,2.951
red,0.0,71.077,22.348,2.404
red,0.0,70.704,22.395,2.451
red,0.0,70.442,21.629,2.045
red,0.0,70.814,21.583,1.998
red,0.0,69.996,23.661,3.186
red,0.0,69.813,24.286,2.358
red,0.0,70.173,24.239,2.311
red,0.0,70.173,24.239,2.311
red,0.0,70.546,24.192,2.264
red,0.0,69.63,23.708,3.248
red,0.0,69.447,24.317,2.404
red,0.0,69.813,24.286,2.358
red,0.0,69.813,24.286,2.358
red,0.0,70.173,24.239,2.311
red,0.0,69.264,23.754,3.295
red,0.0,69.081,24.364,2.467
red,0.0,69.081,24.364,2.467
red,0.0,69.081,24.364,2.467
red,0.0,69.447,24.317,2.404
red,0.0,69.264,23.754,3.295
red,0.0,68.709,24.411,2.514
red,0.0,68.342,24.458,2.561
red,0.0,68.342,24.458,2.561
red,0.0,68.709,24.411,2.514
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,79.371,7.926,-4.392
red,5.0,79.371,7.926,-4.392
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,79.371,7.926,-4.392
red,5.0,79.371,7.926,-4.392
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.633,7.973,-4.361
red,5.0,79.738,7.895,-4.408
red,5.0,79.371,7.926,-4.392
red,5.0,79.371,7.926,-4.392
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,79.371,7.926,-4.392
red,5.0,79.371,7.926,-4.392
red,5.0,79.371,7.926,-4.392
red,5.0,79.371,7.926,-4.392
red,5.0,79.371,7.926,-4.392
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.999,7.942,-4.377
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,5.0,78.633,7.973,-4.361
red,10.0,80.598,5.614,-4.291
red,10.0,80.971,5.583,-4.307
red,10.0,81.337,5.551,-4.322
red,10.0,81.337,5.551,-4.322
red,10.0,81.337,5.551,-4.322
red,10.0,80.971,5.583,-4.307
red,10.0,81.337,5.551,-4.322
red,10.0,81.703,5.536,-4.338
red,10.0,81.703,5.536,-4.338
red,10.0,81.703,5.536,-4.338
red,10.0,81.337,5.551,-4.322
red,10.0,81.703,5.536,-4.338
red,10.0,82.075,5.504,-4.353
red,10.0,82.075,5.504,-4.353
red,10.0,82.075,5.504,-4.353
red,10.0,81.337,5.551,-4.322
red,10.0,81.703,5.536,-4.338
red,10.0,82.075,5.504,-4.353
red,10.0,82.442,5.489,-4.369
red,10.0,82.442,5.489,-4.369
red,10.0,81.703,5.536,-4.338
red,10.0,82.075,5.504,-4.353
red,10.0,82.442,5.489,-4.369
red,10.0,82.442,5.489,-4.369
red,10.0,82.442,5.489,-4.369
red,10.0,81.703,5.536,-4.338
red,10.0,82.075,5.504,-4.353
red,10.0,82.442,5.489,-4.369
red,10.0,82.802,5.473,-4.385
red,10.0,82.802,5.473,-4.385
red,10.0,81.196,6.473,-4.494
red,10.0,82.442,5.489,-4.369
red,10.0,82.075,5.504,-4.353
red,10.0,81.337,5.551,-4.322
red,10.0,80.598,5.614,-4.291
red,10.0,81.569,6.458,-4.51
red,10.0,82.442,5.489,-4.369
red,10.0,82.075,5.504,-4.353
red,10.0,81.337,5.551,-4.322
red,10.0,80.971,5.583,-4.307
red,10.0,81.569,6.458,-4.51
red,10.0,82.075,5.504,-4.353
red,10.0,81.703,5.536,-4.338
red,10.0,81.337,5.551,-4.322
red,10.0,80.971,5.583,-4.307
red,10.0,80.83,6.504,-4.478
red,10.0,80.971,5.583,-4.307
red,10.0,80.971,5.583,-4.307
red,10.0,80.598,5.614,-4.291
red,10.0,80.598,5.614,-4.291
red,15.0,79.225,8.192,-4.408
red,15.0,78.853,8.208,-4.392
red,15.0,78.853,8.208,-4.392
red,15.0,78.853,8.208,-4.392
red,15.0,78.486,8.239,-4.377
red,15.0,79.225,8.192,-4.408
red,15.0,78.853,8.208,-4.392
red,15.0,78.853,8.208,-4.392
red,15.0,78.853,8.208,-4.392
red,15.0,78.853,8.208,-4.392
red,15.0,78.853,8.208,-4.392
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,78.853,8.208,-4.392
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,79.597,8.161,-4.439
red,15.0,78.853,8.208,-4.392
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,79.597,8.161,-4.439
red,15.0,79.597,8.161,-4.439
red,15.0,78.853,8.208,-4.392
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,79.597,8.161,-4.439
red,15.0,79.597,8.161,-4.439
red,15.0,80.092,7.208,-4.283
red,15.0,80.092,7.208,-4.283
red,15.0,80.092,7.208,-4.283
red,15.0,80.092,7.208,-4.283
red,15.0,80.092,7.208,-4.283
red,15.0,79.725,7.239,-4.268
red,15.0,79.725,7.239,-4.268
red,15.0,79.725,7.239,-4.268
red,15.0,79.725,7.239,-4.268
red,15.0,79.725,7.239,-4.268
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,79.225,8.192,-4.408
red,15.0,78.486,8.239,-4.377
red,15.0,78.486,8.239,-4.377
red,15.0,78.486,8.239,-4.377
red,15.0,78.486,8.239,-4.377
red,15.0,78.486,8.239,-4.377
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,79.609,8.848,-4.471
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,79.609,8.848,-4.471
red,20.0,79.609,8.848,-4.471
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,78.871,8.895,-4.439
red,20.0,79.976,8.817,-4.486
red,20.0,79.609,8.848,-4.471
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,78.871,8.895,-4.439
red,20.0,79.976,8.817,-4.486
red,20.0,79.609,8.848,-4.471
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,78.871,8.895,-4.439
red,20.0,79.976,8.817,-4.486
red,20.0,79.609,8.848,-4.471
red,20.0,79.237,8.879,-4.455
red,20.0,79.237,8.879,-4.455
red,20.0,78.871,8.895,-4.439
red,20.0,79.085,8.223,-3.564
red,20.0,78.712,8.239,-3.549
red,20.0,78.346,8.27,-3.533
red,20.0,78.346,8.27,-3.533
red,20.0,78.346,8.27,-3.533
red,20.0,79.457,8.192,-3.596
red,20.0,79.085,8.223,-3.564
red,20.0,78.712,8.239,-3.549
red,20.0,78.346,8.27,-3.533
red,20.0,78.712,8.239,-3.549
red,20.0,79.823,8.161,-3.611
red,20.0,79.457,8.192,-3.596
red,20.0,79.085,8.223,-3.564
red,20.0,78.712,8.239,-3.549
red,20.0,79.085,8.223,-3.564
red,20.0,79.823,8.161,-3.611
red,20.0,79.457,8.192,-3.596
red,20.0,79.085,8.223,-3.564
red,20.0,79.085,8.223,-3.564
red,20.0,79.457,8.192,-3.596
red,25.0,79.341,7.926,-4.158
red,25.0,79.341,7.926,-4.158
red,25.0,79.341,7.926,-4.158
red,25.0,78.969,7.942,-4.142
red,25.0,78.969,7.942,-4.142
red,25.0,79.341,7.926,-4.158
red,25.0,79.341,7.926,-4.158
red,25.0,78.969,7.942,-4.142
red,25.0,78.969,7.942,-4.142
red,25.0,78.969,7.942,-4.142
red,25.0,79.341,7.926,-4.158
red,25.0,79.341,7.926,-4.158
red,25.0,79.341,7.926,-4.158
red,25.0,78.969,7.942,-4.142
red,25.0,78.969,7.942,-4.142
red,25.0,80.073,7.864,-4.189
red,25.0,79.707,7.895,-4.174
red,25.0,79.707,7.895,-4.174
red,25.0,79.341,7.926,-4.158
red,25.0,79.341,7.926,-4.158
red,25.0,80.44,7.833,-4.221
red,25.0,80.073,7.864,-4.189
red,25.0,80.073,7.864,-4.189
red,25.0,80.073,7.864,-4.189
red,25.0,79.707,7.895,-4.174
red,25.0,80.812,7.801,-4.236
red,25.0,80.44,7.833,-4.221
red,25.0,80.44,7.833,-4.221
red,25.0,80.073,7.864,-4.189
red,25.0,80.073,7.864,-4.189
red,25.0,80.153,6.848,-5.221
red,25.0,79.78,6.864,-5.205
red,25.0,79.414,6.895,-5.189
red,25.0,79.39,8.192,-5.205
red,25.0,79.756,8.176,-5.221
red,25.0,80.153,6.848,-5.221
red,25.0,79.78,6.864,-5.205
red,25.0,79.414,6.895,-5.189
red,25.0,79.39,8.192,-5.205
red,25.0,79.756,8.176,-5.221
red,25.0,80.525,6.817,-5.236
red,25.0,80.153,6.848,-5.221
red,25.0,79.78,6.864,-5.205
red,25.0,79.756,8.176,-5.221
red,25.0,80.122,8.145,-5.236
red,25.0,80.891,6.801,-5.252
red,25.0,80.891,6.801,-5.252
red,25.0,80.525,6.817,-5.236
red,25.0,80.488,8.114,-5.252
red,25.0,80.861,8.098,-5.268
red,30.0,80.183,6.879,-6.064
red,30.0,80.183,6.879,-6.064
red,30.0,80.556,6.848,-6.08
red,30.0,80.556,6.848,-6.08
red,30.0,80.183,6.879,-6.064
red,30.0,79.811,6.895,-6.049
red,30.0,80.183,6.879,-6.064
red,30.0,80.183,6.879,-6.064
red,30.0,80.183,6.879,-6.064
red,30.0,80.183,6.879,-6.064
red,30.0,79.811,6.895,-6.049
red,30.0,80.183,6.879,-6.064
red,30.0,80.183,6.879,-6.064
red,30.0,80.183,6.879,-6.064
red,30.0,80.183,6.879,-6.064
red,30.0,80.183,6.879,-6.064
red,30.0,80.183,6.879,-6.064
red,30.0,80.556,6.848,-6.08
red,30.0,80.556,6.848,-6.08
red,30.0,80.183,6.879,-6.064
red,30.0,80.556,6.848,-6.08
red,30.0,80.556,6.848,-6.08
red,30.0,80.922,6.833,-6.096
red,30.0,80.922,6.833,-6.096
red,30.0,80.556,6.848,-6.08
red,30.0,80.556,6.848,-6.08
red,30.0,80.922,6.833,-6.096
red,30.0,80.922,6.833,-6.096
red,30.0,80.922,6.833,-6.096
red,30.0,80.922,6.833,-6.096
red,30.0,80.134,6.598,-5.018
red,30.0,80.507,6.567,-5.033
red,30.0,80.507,6.567,-5.033
red,30.0,80.507,6.567,-5.033
red,30.0,80.507,6.567,-5.033
red,30.0,80.873,6.536,-5.049
red,30.0,80.873,6.536,-5.049
red,30.0,81.245,6.52,-5.064
red,30.0,81.245,6.52,-5.064
red,30.0,80.873,6.536,-5.049
red,30.0,81.245,6.52,-5.064
red,30.0,81.245,6.52,-5.064
red,30.0,81.245,6.52,-5.064
red,30.0,81.245,6.52,-5.064
red,30.0,81.611,6.489,-5.096
red,30.0,80.873,6.536,-5.049
red,30.0,80.873,6.536,-5.049
red,30.0,80.873,6.536,-5.049
red,30.0,80.873,6.536,-5.049
red,30.0,81.245,6.52,-5.064
red,35.0,82.808,5.708,-6.33
red,35.0,82.808,5.708,-6.33
red,35.0,82.808,5.708,-6.33
red,35.0,82.808,5.708,-6.33
red,35.0,82.808,5.708,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.442,5.739,-6.33
red,35.0,82.081,5.754,-6.314
red,35.0,82.081,5.754,-6.314
red,35.0,82.081,5.754,-6.314
red,35.0,82.081,5.754,-6.314
red,35.0,82.081,5.754,-6.314
red,35.0,81.715,5.786,-6.299
red,35.0,81.715,5.786,-6.299
red,35.0,81.715,5.786,-6.299
red,35.0,81.715,5.786,-6.299
red,35.0,81.715,5.786,-6.299
red,35.0,81.715,5.786,-6.299
red,35.0,81.715,5.786,-6.299
red,35.0,81.715,5.786,-6.299
red,35.0,81.715,5.786,-6.299
red,35.0,81.715,5.786,-6.299
red,35.0,81.624,6.989,-7.518
red,35.0,81.99,6.973,-7.533
red,35.0,81.99,6.973,-7.533
red,35.0,81.99,6.973,-7.533
red,35.0,81.99,6.973,-7.533
red,35.0,82.356,6.942,-7.549
red,35.0,82.356,6.942,-7.549
red,35.0,82.356,6.942,-7.549
red,35.0,82.356,6.942,-7.549
red,35.0,82.356,6.942,-7.549
red,35.0,83.088,6.911,-7.564
red,35.0,82.356,6.942,-7.549
red,35.0,81.99,6.973,-7.533
red,35.0,81.99,6.973,-7.533
red,35.0,82.356,6.942,-7.549
red,35.0,83.088,6.911,-7.564
red,35.0,82.356,6.942,-7.549
red,35.0,81.624,6.989,-7.518
red,35.0,81.624,6.989,-7.518
red,35.0,81.99,6.973,-7.533
red,40.0,80.342,8.786,-5.533
