color,voltage,L,a,b
red_black,0.0,37.062,16.208,-1.689
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.849,16.176,-1.908
red_black,0.0,37.849,16.176,-1.908
red_black,0.0,37.849,16.176,-1.908
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.849,16.176,-1.908
red_black,0.0,38.264,16.114,-2.002
red_black,0.0,37.849,16.176,-1.908
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.849,16.176,-1.908
red_black,0.0,38.673,16.067,-2.08
red_black,0.0,37.849,16.176,-1.908
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,39.082,16.004,-2.158
red_black,0.0,38.264,16.114,-2.002
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.062,16.208,-1.689
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,39.491,15.942,-2.252
red_black,0.0,38.264,16.114,-2.002
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,37.062,16.208,-1.689
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,39.491,15.942,-2.252
red_black,0.0,39.082,16.004,-2.158
red_black,0.0,38.673,16.067,-2.08
red_black,0.0,38.716,16.254,-3.346
red_black,0.0,38.716,16.254,-3.346
red_black,0.0,38.673,16.067,-2.08
red_black,0.0,38.673,16.067,-2.08
red_black,0.0,38.673,16.067,-2.08
red_black,0.0,38.716,16.254,-3.346
red_black,0.0,38.716,16.254,-3.346
red_black,0.0,37.459,16.192,-1.799
red_black,0.0,38.264,16.114,-2.002
red_black,0.0,38.673,16.067,-2.08
red_black,0.0,39.125,16.176,-3.424
red_black,0.0,39.125,16.176,-3.424
red_black,0.0,37.062,16.208,-1.689
red_black,0.0,38.264,16.114,-2.002
red_black,0.0,39.491,15.942,-2.252
red_black,0.0,39.943,16.098,-3.58
red_black,0.0,39.943,16.098,-3.58
red_black,5.0,33.906,0.239,-13.518
red_black,5.0,33.461,0.27,-13.502
red_black,5.0,32.557,0.348,-13.486
red_black,5.0,32.094,0.379,-13.486
red_black,5.0,31.63,0.426,-13.502
red_black,5.0,32.094,0.379,-13.486
red_black,5.0,32.557,0.348,-13.486
red_black,5.0,32.557,0.348,-13.486
red_black,5.0,32.557,0.348,-13.486
red_black,5.0,32.557,0.348,-13.486
red_black,5.0,31.166,0.442,-13.502
red_black,5.0,32.094,0.379,-13.486
red_black,5.0,33.009,0.317,-13.486
red_black,5.0,33.906,0.239,-13.518
red_black,5.0,34.34,0.192,-13.533
red_black,5.0,32.094,0.379,-13.486
red_black,5.0,33.461,0.27,-13.502
red_black,5.0,34.34,0.192,-13.533
red_black,5.0,35.225,0.145,-13.564
red_black,5.0,35.225,0.145,-13.564
red_black,5.0,36.128,0.083,-13.549
red_black,5.0,36.574,0.051,-13.549
red_black,5.0,36.574,0.051,-13.549
red_black,5.0,36.128,0.083,-13.549
red_black,5.0,34.773,0.161,-13.564
red_black,5.0,39.192,-0.121,-13.611
red_black,5.0,38.746,-0.105,-13.611
red_black,5.0,37.88,-0.042,-13.596
red_black,5.0,36.128,0.083,-13.549
red_black,5.0,34.34,0.192,-13.533
red_black,5.0,37.629,0.489,-11.939
red_black,5.0,36.763,0.551,-11.908
red_black,5.0,35.872,0.598,-11.892
red_black,5.0,34.102,0.754,-11.83
red_black,5.0,32.759,0.864,-11.783
red_black,5.0,34.974,0.692,-11.877
red_black,5.0,34.974,0.692,-11.877
red_black,5.0,34.974,0.692,-11.877
red_black,5.0,34.974,0.692,-11.877
red_black,5.0,34.974,0.692,-11.877
red_black,5.0,33.662,0.801,-11.814
red_black,5.0,34.535,0.723,-11.861
red_black,5.0,35.426,0.645,-11.892
red_black,5.0,36.323,0.583,-11.908
red_black,5.0,37.629,0.489,-11.939
red_black,5.0,35.426,0.645,-11.892
red_black,5.0,35.872,0.598,-11.892
red_black,5.0,36.323,0.583,-11.908
red_black,5.0,37.202,0.52,-11.924
red_black,5.0,38.063,0.458,-11.971
red_black,10.0,37.623,11.598,-5.564
red_black,10.0,37.135,12.661,-5.564
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,36.342,11.801,-5.392
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,35.103,11.911,-5.142
red_black,10.0,35.481,12.833,-5.252
red_black,10.0,35.896,12.786,-5.33
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,36.708,12.739,-5.502
red_black,10.0,35.103,11.911,-5.142
red_black,10.0,35.896,12.786,-5.33
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,36.708,12.739,-5.502
red_black,10.0,37.135,12.661,-5.564
red_black,10.0,36.342,11.801,-5.392
red_black,10.0,36.708,12.739,-5.502
red_black,10.0,37.135,12.661,-5.564
red_black,10.0,37.135,12.661,-5.564
red_black,10.0,36.708,12.739,-5.502
red_black,10.0,37.623,11.598,-5.564
red_black,10.0,37.977,12.567,-5.689
red_black,10.0,37.977,12.567,-5.689
red_black,10.0,37.135,12.661,-5.564
red_black,10.0,36.305,12.754,-5.408
red_black,10.0,38.24,10.864,-4.674
red_black,10.0,37.825,10.911,-4.611
red_black,10.0,38.24,10.864,-4.674
red_black,10.0,38.24,10.864,-4.674
red_black,10.0,37.825,10.911,-4.611
red_black,10.0,39.07,10.786,-4.814
red_black,10.0,39.07,10.786,-4.814
red_black,10.0,38.655,10.833,-4.752
red_black,10.0,38.24,10.864,-4.674
red_black,10.0,37.825,10.911,-4.611
red_black,10.0,40.748,10.567,-5.033
red_black,10.0,40.333,10.629,-4.971
red_black,10.0,39.906,10.692,-4.924
red_black,10.0,38.655,10.833,-4.752
red_black,10.0,37.825,10.911,-4.611
red_black,10.0,41.987,10.426,-5.205
red_black,10.0,41.578,10.458,-5.142
red_black,10.0,40.748,10.567,-5.033
red_black,10.0,39.07,10.786,-4.814
red_black,10.0,37.825,10.911,-4.611
red_black,15.0,32.081,0.129,-15.08
red_black,15.0,31.196,0.208,-15.018
red_black,15.0,30.745,0.254,-15.002
red_black,15.0,31.642,0.176,-15.049
red_black,15.0,33.925,0.004,-15.064
red_black,15.0,34.822,-0.074,-15.096
red_black,15.0,33.925,0.004,-15.064
red_black,15.0,32.545,0.114,-15.08
red_black,15.0,31.196,0.208,-15.018
red_black,15.0,32.545,0.114,-15.08
red_black,15.0,34.822,-0.074,-15.096
red_black,15.0,34.822,-0.074,-15.096
red_black,15.0,33.925,0.004,-15.064
red_black,15.0,32.545,0.114,-15.08
red_black,15.0,32.545,0.114,-15.08
red_black,15.0,31.642,0.176,-15.049
red_black,15.0,33.009,0.067,-15.064
red_black,15.0,33.473,0.036,-15.064
red_black,15.0,33.925,0.004,-15.064
red_black,15.0,33.925,0.004,-15.064
red_black,15.0,28.877,0.411,-14.986
red_black,15.0,29.823,0.333,-14.971
red_black,15.0,31.642,0.176,-15.049
red_black,15.0,33.473,0.036,-15.064
red_black,15.0,34.822,-0.074,-15.096
red_black,15.0,28.407,0.442,-14.971
red_black,15.0,28.407,0.442,-14.971
red_black,15.0,29.823,0.333,-14.971
red_black,15.0,32.545,0.114,-15.08
red_black,15.0,34.376,-0.042,-15.08
red_black,15.0,30.287,0.286,-14.986
red_black,15.0,30.745,0.254,-15.002
red_black,15.0,31.196,0.208,-15.018
red_black,15.0,32.081,0.129,-15.08
red_black,15.0,33.009,0.067,-15.064
red_black,15.0,31.642,0.176,-15.049
red_black,15.0,33.009,0.067,-15.064
red_black,15.0,34.376,-0.042,-15.08
red_black,15.0,34.376,-0.042,-15.08
red_black,15.0,33.473,0.036,-15.064
red_black,15.0,34.822,-0.074,-15.096
red_black,15.0,37.044,-0.23,-15.127
red_black,15.0,38.362,-0.324,-15.158
red_black,15.0,37.929,-0.292,-15.142
red_black,15.0,35.689,-0.152,-15.142
red_black,15.0,37.044,-0.23,-15.127
red_black,15.0,39.216,-0.386,-15.189
red_black,15.0,40.547,-0.464,-15.174
red_black,15.0,40.108,-0.433,-15.189
red_black,15.0,37.489,-0.261,-15.127
red_black,20.0,34.018,0.348,-15.486
red_black,20.0,34.469,0.301,-15.486
red_black,20.0,35.354,0.239,-15.502
red_black,20.0,36.691,0.145,-15.518
red_black,20.0,38.455,0.004,-15.533
red_black,20.0,34.909,0.254,-15.502
red_black,20.0,34.909,0.254,-15.502
red_black,20.0,34.469,0.301,-15.486
red_black,20.0,34.909,0.254,-15.502
red_black,20.0,35.354,0.239,-15.502
red_black,20.0,35.788,0.208,-15.518
red_black,20.0,35.354,0.239,-15.502
red_black,20.0,34.469,0.301,-15.486
red_black,20.0,34.018,0.348,-15.486
red_black,20.0,33.566,0.379,-15.471
red_black,20.0,35.788,0.208,-15.518
red_black,20.0,35.354,0.239,-15.502
red_black,20.0,35.354,0.239,-15.502
red_black,20.0,34.909,0.254,-15.502
red_black,20.0,34.469,0.301,-15.486
red_black,20.0,35.788,0.208,-15.518
red_black,20.0,35.788,0.208,-15.518
red_black,20.0,35.788,0.208,-15.518
red_black,20.0,35.354,0.239,-15.502
red_black,20.0,35.354,0.239,-15.502
red_black,20.0,36.239,0.192,-15.518
red_black,20.0,35.788,0.208,-15.518
red_black,20.0,35.354,0.239,-15.502
red_black,20.0,34.909,0.254,-15.502
red_black,20.0,34.018,0.348,-15.486
red_black,20.0,37.491,1.223,-14.268
red_black,20.0,37.491,1.223,-14.268
red_black,20.0,34.836,1.426,-14.221
red_black,20.0,34.39,1.458,-14.205
red_black,20.0,35.269,1.379,-14.252
red_black,20.0,36.148,1.317,-14.268
red_black,20.0,36.148,1.317,-14.268
red_black,20.0,34.39,1.458,-14.205
red_black,20.0,33.944,1.504,-14.189
red_black,20.0,35.269,1.379,-14.252
red_black,20.0,34.39,1.458,-14.205
red_black,20.0,34.39,1.458,-14.205
red_black,20.0,33.035,1.583,-14.174
red_black,20.0,33.493,1.551,-14.174
red_black,20.0,35.269,1.379,-14.252
red_black,20.0,33.035,1.583,-14.174
red_black,20.0,33.035,1.583,-14.174
red_black,20.0,32.571,1.629,-14.174
red_black,20.0,33.035,1.583,-14.174
red_black,20.0,34.39,1.458,-14.205
red_black,25.0,35.499,1.395,-14.033
red_black,25.0,37.282,1.286,-14.033
red_black,25.0,39.015,1.129,-14.096
red_black,25.0,39.894,1.083,-14.096
red_black,25.0,39.015,1.129,-14.096
red_black,25.0,36.39,1.348,-14.033
red_black,25.0,38.154,1.208,-14.064
red_black,25.0,39.894,1.083,-14.096
red_black,25.0,39.894,1.083,-14.096
red_black,25.0,38.154,1.208,-14.064
red_black,25.0,37.721,1.239,-14.049
red_black,25.0,38.582,1.176,-14.08
red_black,25.0,39.015,1.129,-14.096
red_black,25.0,38.154,1.208,-14.064
red_black,25.0,36.842,1.317,-14.033
red_black,25.0,38.582,1.176,-14.08
red_black,25.0,39.448,1.114,-14.111
red_black,25.0,39.015,1.129,-14.096
red_black,25.0,37.282,1.286,-14.033
red_black,25.0,35.499,1.395,-14.033
red_black,25.0,39.015,1.129,-14.096
red_black,25.0,40.333,1.051,-14.096
red_black,25.0,39.448,1.114,-14.111
red_black,25.0,37.282,1.286,-14.033
red_black,25.0,35.06,1.442,-14.018
red_black,25.0,39.015,1.129,-14.096
red_black,25.0,41.2,0.989,-14.111
red_black,25.0,40.767,1.02,-14.111
