color,voltage,L,a,b
yellow,0.0,80.785,1.674,46.409
yellow,0.0,80.785,1.674,46.409
yellow,0.0,81.145,1.642,46.378
yellow,0.0,81.145,1.642,46.378
yellow,0.0,80.785,1.674,46.409
yellow,0.0,80.418,1.689,46.44
yellow,0.0,80.785,1.674,46.409
yellow,0.0,80.785,1.674,46.409
yellow,0.0,80.785,1.674,46.409
yellow,0.0,80.785,1.674,46.409
yellow,0.0,80.785,1.674,46.409
yellow,0.0,80.785,1.674,46.409
yellow,0.0,81.145,1.642,46.378
yellow,0.0,81.145,1.642,46.378
yellow,0.0,80.785,1.674,46.409
yellow,0.0,81.145,1.642,46.378
yellow,0.0,81.145,1.642,46.378
yellow,0.0,81.499,1.627,46.346
yellow,0.0,81.499,1.627,46.346
yellow,0.0,81.145,1.642,46.378
yellow,0.0,81.499,1.627,46.346
yellow,0.0,81.859,1.627,46.315
yellow,0.0,81.859,1.627,46.315
yellow,0.0,81.859,1.627,46.315
yellow,0.0,81.859,1.627,46.315
yellow,0.0,81.859,1.627,46.315
yellow,0.0,82.219,1.611,46.284
yellow,0.0,82.219,1.611,46.284
yellow,0.0,82.219,1.611,46.284
yellow,0.0,82.219,1.611,46.284
yellow,0.0,81.84,1.455,47.252
yellow,0.0,81.859,1.627,46.315
yellow,0.0,82.219,1.611,46.284
yellow,0.0,81.871,1.705,45.846
yellow,0.0,81.871,1.705,45.846
yellow,0.0,81.12,1.471,47.315
yellow,0.0,81.499,1.627,46.346
yellow,0.0,81.859,1.627,46.315
yellow,0.0,81.871,1.705,45.846
yellow,0.0,81.871,1.705,45.846
yellow,0.0,80.4,1.502,47.378
yellow,0.0,80.785,1.674,46.409
yellow,0.0,81.499,1.627,46.346
yellow,0.0,81.511,1.721,45.878
yellow,0.0,81.511,1.721,45.878
yellow,0.0,80.034,1.518,47.424
yellow,0.0,80.418,1.689,46.44
yellow,0.0,81.145,1.642,46.378
yellow,0.0,81.511,1.721,45.878
yellow,0.0,81.511,1.721,45.878
yellow,5.0,81.34,1.408,52.831
yellow,5.0,81.34,1.408,52.831
yellow,5.0,80.98,1.424,52.862
yellow,5.0,80.98,1.424,52.862
yellow,5.0,80.62,1.439,52.878
yellow,5.0,81.34,1.408,52.831
yellow,5.0,81.34,1.408,52.831
yellow,5.0,80.98,1.424,52.862
yellow,5.0,80.98,1.424,52.862
yellow,5.0,80.62,1.439,52.878
yellow,5.0,81.096,2.064,51.628
yellow,5.0,81.096,2.064,51.628
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.376,2.111,51.69
yellow,5.0,81.096,2.064,51.628
yellow,5.0,81.096,2.064,51.628
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.376,2.111,51.69
yellow,5.0,81.114,2.221,50.721
yellow,5.0,81.114,2.221,50.721
yellow,5.0,80.754,2.236,50.752
yellow,5.0,80.754,2.236,50.752
yellow,5.0,80.394,2.268,50.784
yellow,5.0,81.114,2.221,50.721
yellow,5.0,81.114,2.221,50.721
yellow,5.0,80.754,2.236,50.752
yellow,5.0,80.754,2.236,50.752
yellow,5.0,80.394,2.268,50.784
yellow,5.0,80.754,2.236,50.752
yellow,5.0,80.754,2.236,50.752
yellow,5.0,80.754,2.236,50.752
yellow,5.0,80.754,2.236,50.752
yellow,5.0,80.754,2.236,50.752
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.736,2.08,51.659
yellow,5.0,80.62,1.439,52.878
yellow,5.0,80.62,1.439,52.878
yellow,5.0,80.62,1.439,52.878
yellow,5.0,80.62,1.439,52.878
yellow,5.0,80.62,1.439,52.878
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.559,3.346,47.206
yellow,10.0,80.919,3.33,47.174
yellow,10.0,80.681,4.018,45.924
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.559,3.346,47.206
yellow,10.0,80.919,3.33,47.174
yellow,10.0,80.681,4.018,45.924
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.559,3.346,47.206
yellow,10.0,80.919,3.33,47.174
yellow,10.0,80.681,4.018,45.924
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.559,3.346,47.206
yellow,10.0,80.919,3.33,47.174
yellow,10.0,80.681,4.018,45.924
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.559,3.346,47.206
yellow,10.0,80.919,3.33,47.174
yellow,10.0,80.681,4.018,45.924
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.516,3.002,49.081
yellow,10.0,80.559,3.346,47.206
yellow,10.0,80.919,3.33,47.174
yellow,10.0,80.681,4.018,45.924
yellow,10.0,80.272,1.846,48.252
yellow,10.0,80.394,2.518,46.971
yellow,10.0,80.394,2.518,46.971
yellow,10.0,80.754,2.518,46.94
yellow,10.0,80.754,2.518,46.94
yellow,10.0,80.632,1.846,48.221
yellow,10.0,80.394,2.518,46.971
yellow,10.0,80.394,2.518,46.971
yellow,10.0,80.772,2.689,46.002
yellow,10.0,80.772,2.689,46.002
yellow,10.0,80.394,2.518,46.971
yellow,10.0,80.412,2.689,46.034
yellow,10.0,80.772,2.689,46.002
yellow,10.0,80.772,2.689,46.002
yellow,10.0,80.772,2.689,46.002
yellow,10.0,80.754,2.518,46.94
yellow,10.0,80.772,2.689,46.002
yellow,10.0,80.772,2.689,46.002
yellow,10.0,80.785,2.768,45.534
yellow,10.0,80.785,2.768,45.534
yellow,15.0,80.54,3.111,48.331
yellow,15.0,80.54,3.111,48.331
yellow,15.0,80.54,3.111,48.331
yellow,15.0,80.54,3.111,48.331
yellow,15.0,80.54,3.111,48.331
yellow,15.0,80.54,3.111,48.331
yellow,15.0,80.54,3.111,48.331
