color,voltage,L,a,b
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,46.48,1.142,31.643
yellow_Black,0.0,46.48,1.142,31.643
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,47.291,1.111,31.612
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,47.291,1.111,31.612
yellow_Black,0.0,47.291,1.111,31.612
yellow_Black,0.0,47.291,1.111,31.612
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,46.48,1.142,31.643
yellow_Black,0.0,47.694,1.096,31.596
yellow_Black,0.0,48.103,1.111,31.549
yellow_Black,0.0,47.694,1.096,31.596
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,46.48,1.142,31.643
yellow_Black,0.0,47.694,1.096,31.596
yellow_Black,0.0,48.506,1.111,31.502
yellow_Black,0.0,47.694,1.096,31.596
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,46.077,1.158,31.674
yellow_Black,0.0,47.694,1.096,31.596
yellow_Black,0.0,48.506,1.111,31.502
yellow_Black,0.0,48.103,1.111,31.549
yellow_Black,0.0,46.48,1.142,31.643
yellow_Black,0.0,46.077,1.158,31.674
yellow_Black,0.0,48.506,1.111,31.502
yellow_Black,0.0,49.312,1.111,31.424
yellow_Black,0.0,48.909,1.111,31.456
yellow_Black,0.0,47.694,1.096,31.596
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,48.506,1.111,31.502
yellow_Black,0.0,48.909,1.111,31.456
yellow_Black,0.0,48.506,1.111,31.502
yellow_Black,0.0,47.291,1.111,31.612
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,48.103,1.111,31.549
yellow_Black,0.0,48.506,1.111,31.502
yellow_Black,0.0,48.103,1.111,31.549
yellow_Black,0.0,47.291,1.111,31.612
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,0.0,47.694,1.096,31.596
yellow_Black,0.0,47.694,1.096,31.596
yellow_Black,0.0,47.694,1.096,31.596
yellow_Black,0.0,47.291,1.111,31.612
yellow_Black,0.0,46.889,1.127,31.627
yellow_Black,5.0,41.606,1.205,29.112
yellow_Black,5.0,41.606,1.205,29.112
yellow_Black,5.0,42.436,1.189,29.081
yellow_Black,5.0,42.851,1.189,29.034
yellow_Black,5.0,42.436,1.189,29.081
yellow_Black,5.0,42.027,1.189,29.096
yellow_Black,5.0,41.606,1.205,29.112
yellow_Black,5.0,42.027,1.189,29.096
yellow_Black,5.0,42.436,1.189,29.081
yellow_Black,5.0,42.027,1.189,29.096
yellow_Black,5.0,42.436,1.189,29.081
yellow_Black,5.0,41.606,1.205,29.112
yellow_Black,5.0,41.606,1.205,29.112
yellow_Black,5.0,41.606,1.205,29.112
yellow_Black,5.0,41.191,1.189,29.127
yellow_Black,5.0,42.027,1.189,29.096
yellow_Black,5.0,41.191,1.189,29.127
yellow_Black,5.0,40.77,1.205,29.159
yellow_Black,5.0,41.191,1.189,29.127
yellow_Black,5.0,41.191,1.189,29.127
yellow_Black,5.0,41.606,1.205,29.112
yellow_Black,5.0,40.77,1.205,29.159
yellow_Black,5.0,40.355,1.221,29.19
yellow_Black,5.0,40.77,1.205,29.159
yellow_Black,5.0,41.191,1.189,29.127
yellow_Black,5.0,41.191,1.189,29.127
yellow_Black,5.0,40.355,1.221,29.19
yellow_Black,5.0,39.94,1.236,29.237
yellow_Black,5.0,40.77,1.205,29.159
yellow_Black,5.0,41.191,1.189,29.127
yellow_Black,5.0,40.477,1.986,27.737
yellow_Black,5.0,40.898,1.971,27.721
yellow_Black,5.0,40.898,1.971,27.721
yellow_Black,5.0,41.313,1.955,27.706
yellow_Black,5.0,40.898,1.971,27.721
yellow_Black,5.0,41.734,1.971,27.659
yellow_Black,5.0,42.149,1.986,27.612
yellow_Black,5.0,42.564,1.986,27.581
yellow_Black,5.0,42.564,1.986,27.581
yellow_Black,5.0,42.149,1.986,27.612
yellow_Black,5.0,41.734,1.971,27.659
yellow_Black,5.0,42.149,1.986,27.612
yellow_Black,5.0,42.149,1.986,27.612
yellow_Black,5.0,42.149,1.986,27.612
yellow_Black,5.0,41.734,1.971,27.659
yellow_Black,5.0,40.062,2.002,27.768
yellow_Black,5.0,40.477,1.986,27.737
yellow_Black,5.0,40.477,1.986,27.737
yellow_Black,5.0,40.477,1.986,27.737
yellow_Black,5.0,40.062,2.002,27.768
yellow_Black,10.0,44.334,1.721,26.565
yellow_Black,10.0,43.101,1.752,26.659
yellow_Black,10.0,42.277,1.768,26.737
yellow_Black,10.0,42.692,1.768,26.706
yellow_Black,10.0,42.277,1.768,26.737
yellow_Black,10.0,44.334,1.721,26.565
yellow_Black,10.0,43.51,1.736,26.643
yellow_Black,10.0,42.692,1.768,26.706
yellow_Black,10.0,42.277,1.768,26.737
yellow_Black,10.0,41.856,1.752,26.768
yellow_Black,10.0,43.51,1.736,26.643
yellow_Black,10.0,43.101,1.752,26.659
yellow_Black,10.0,42.692,1.768,26.706
yellow_Black,10.0,42.277,1.768,26.737
yellow_Black,10.0,42.277,1.768,26.737
yellow_Black,10.0,43.101,1.752,26.659
yellow_Black,10.0,43.101,1.752,26.659
yellow_Black,10.0,42.692,1.768,26.706
yellow_Black,10.0,42.277,1.768,26.737
yellow_Black,10.0,42.277,1.768,26.737
yellow_Black,10.0,43.101,1.752,26.659
yellow_Black,10.0,43.51,1.736,26.643
yellow_Black,10.0,43.101,1.752,26.659
yellow_Black,10.0,41.856,1.752,26.768
yellow_Black,10.0,41.856,1.752,26.768
yellow_Black,10.0,43.919,1.721,26.612
yellow_Black,10.0,43.919,1.721,26.612
yellow_Black,10.0,43.101,1.752,26.659
yellow_Black,10.0,41.856,1.752,26.768
yellow_Black,10.0,41.441,1.736,26.815
yellow_Black,10.0,41.832,1.518,27.862
yellow_Black,10.0,42.247,1.533,27.815
yellow_Black,10.0,42.662,1.533,27.784
yellow_Black,10.0,43.486,1.518,27.706
yellow_Black,10.0,43.895,1.502,27.674
yellow_Black,10.0,41.832,1.518,27.862
yellow_Black,10.0,42.247,1.533,27.815
yellow_Black,10.0,42.662,1.533,27.784
yellow_Black,10.0,43.077,1.533,27.737
yellow_Black,10.0,43.486,1.518,27.706
yellow_Black,10.0,41.832,1.518,27.862
yellow_Black,10.0,42.247,1.533,27.815
yellow_Black,10.0,42.662,1.533,27.784
yellow_Black,10.0,42.662,1.533,27.784
yellow_Black,10.0,43.077,1.533,27.737
yellow_Black,10.0,42.662,1.533,27.784
yellow_Black,10.0,42.662,1.533,27.784
yellow_Black,10.0,42.662,1.533,27.784
yellow_Black,10.0,42.662,1.533,27.784
yellow_Black,10.0,43.077,1.533,27.737
yellow_Black,15.0,42.177,1.533,27.706
yellow_Black,15.0,42.036,3.018,27.581
yellow_Black,15.0,42.036,3.018,27.581
yellow_Black,15.0,42.036,3.018,27.581
yellow_Black,15.0,42.036,3.018,27.581
yellow_Black,15.0,41.762,1.518,27.752
yellow_Black,15.0,41.621,3.018,27.643
yellow_Black,15.0,41.621,3.018,27.643
yellow_Black,15.0,41.621,3.018,27.643
yellow_Black,15.0,41.621,3.018,27.643
yellow_Black,15.0,41.762,1.518,27.752
yellow_Black,15.0,41.621,3.018,27.643
yellow_Black,15.0,41.621,3.018,27.643
yellow_Black,15.0,41.621,3.018,27.643
yellow_Black,15.0,41.621,3.018,27.643
yellow_Black,15.0,42.177,1.533,27.706
yellow_Black,15.0,42.036,3.018,27.581
yellow_Black,15.0,42.036,3.018,27.581
yellow_Black,15.0,42.036,3.018,27.581
yellow_Black,15.0,42.036,3.018,27.581
